onset	duration	nwb_table	treelevel
8.095999717712402	0.09999999999999964	epochs	0.0
8.095999717712402	0.04499999999999993	epochs	1.0
8.140999717712402	0.009999999999999787	epochs	1.0
8.150999717712402	0.04499999999999993	epochs	1.0
8.195999717712402	0.7049950000000003	epochs	0.0
8.195999717712402	0.5	epochs	-1.0
8.195999717712402	0.5	epochs	-1.0
8.195999717712402	0.5	epochs	1.0
8.695999717712402	0.0600000000000005	epochs	-1.0
8.695999717712402	0.025000000000000355	epochs	-1.0
8.695999717712402	0.025000000000000355	epochs	1.0
8.720999717712402	0.009999999999999787	epochs	-1.0
8.720999717712402	0.009999999999999787	epochs	1.0
8.730999717712402	0.025000000000000355	epochs	-1.0
8.730999717712402	0.025000000000000355	epochs	1.0
8.755999717712402	0.0600000000000005	epochs	-1.0
8.755999717712402	0.025000000000000355	epochs	-1.0
8.755999717712402	0.025000000000000355	epochs	1.0
8.780999717712403	0.009999999999999787	epochs	-1.0
8.780999717712403	0.009999999999999787	epochs	1.0
8.790999717712403	0.025000000000000355	epochs	-1.0
8.790999717712403	0.025000000000000355	epochs	1.0
8.815999717712403	0.05999999999999872	epochs	-1.0
8.815999717712403	0.02499999999999858	epochs	-1.0
8.815999717712403	0.02499999999999858	epochs	1.0
8.840999717712402	0.010000000000001563	epochs	-1.0
8.840999717712402	0.010000000000001563	epochs	1.0
8.850999717712403	0.02499999999999858	epochs	-1.0
8.850999717712403	0.02499999999999858	epochs	1.0
8.875999717712402	0.024995000000000545	epochs	1.0
489.735999584198	0.10000000000002274	epochs	0.0
489.735999584198	0.045000000000015916	epochs	1.0
489.780999584198	0.009999999999990905	epochs	1.0
489.790999584198	0.045000000000015916	epochs	1.0
489.835999584198	0.7049949999999967	epochs	0.0
489.835999584198	0.5	epochs	-1.0
489.835999584198	0.5	epochs	1.0
490.335999584198	0.060000000000002274	epochs	-1.0
490.335999584198	0.024999999999977263	epochs	-1.0
490.335999584198	0.024999999999977263	epochs	1.0
490.360999584198	0.009999999999990905	epochs	-1.0
490.360999584198	0.009999999999990905	epochs	1.0
490.370999584198	0.025000000000034106	epochs	-1.0
490.370999584198	0.025000000000034106	epochs	1.0
490.395999584198	0.060000000000002274	epochs	-1.0
490.395999584198	0.024999999999977263	epochs	-1.0
490.395999584198	0.024999999999977263	epochs	1.0
490.420999584198	0.009999999999990905	epochs	-1.0
490.420999584198	0.009999999999990905	epochs	1.0
490.430999584198	0.025000000000034106	epochs	-1.0
490.430999584198	0.025000000000034106	epochs	1.0
490.455999584198	0.05999999999994543	epochs	-1.0
490.455999584198	0.024999999999977263	epochs	-1.0
490.455999584198	0.024999999999977263	epochs	1.0
490.480999584198	0.009999999999990905	epochs	-1.0
490.480999584198	0.009999999999990905	epochs	1.0
490.490999584198	0.024999999999977263	epochs	-1.0
