onset	duration	nwb_table	treelevel
8.710999965667725	0.09999999999999964	epochs	0.0
8.710999965667725	0.04499999999999993	epochs	1.0
8.755999965667725	0.009999999999999787	epochs	1.0
8.765999965667724	0.04499999999999993	epochs	1.0
8.810999965667724	0.7049950000000003	epochs	0.0
8.810999965667724	0.5	epochs	-1.0
8.810999965667724	0.5	epochs	-1.0
8.810999965667724	0.5	epochs	1.0
9.310999965667724	0.0600000000000005	epochs	-1.0
9.310999965667724	0.025000000000000355	epochs	-1.0
9.310999965667724	0.025000000000000355	epochs	1.0
9.335999965667725	0.009999999999999787	epochs	-1.0
9.335999965667725	0.009999999999999787	epochs	1.0
9.345999965667724	0.025000000000000355	epochs	-1.0
9.345999965667724	0.025000000000000355	epochs	1.0
9.370999965667725	0.0600000000000005	epochs	-1.0
9.370999965667725	0.025000000000000355	epochs	-1.0
9.370999965667725	0.025000000000000355	epochs	1.0
9.395999965667725	0.009999999999999787	epochs	-1.0
9.395999965667725	0.009999999999999787	epochs	1.0
9.405999965667725	0.025000000000000355	epochs	-1.0
9.405999965667725	0.025000000000000355	epochs	1.0
9.430999965667725	0.05999999999999872	epochs	-1.0
9.430999965667725	0.02499999999999858	epochs	-1.0
9.430999965667725	0.02499999999999858	epochs	1.0
9.455999965667724	0.010000000000001563	epochs	-1.0
9.455999965667724	0.010000000000001563	epochs	1.0
9.465999965667725	0.02499999999999858	epochs	-1.0
9.465999965667725	0.02499999999999858	epochs	1.0
9.490999965667724	0.024995000000000545	epochs	1.0
2322.6770000457764	0.09999999999990905	epochs	0.0
2322.6770000457764	0.04500000000007276	epochs	1.0
2322.7220000457764	0.009999999999763531	epochs	1.0
2322.732000045776	0.04500000000007276	epochs	1.0
2322.7770000457763	0.5399449999999888	epochs	0.0
2322.7770000457763	0.5	epochs	-1.0
2322.7770000457763	0.5	epochs	1.0
2323.2770000457763	0.039944999999988795	epochs	-1.0
2323.2770000457763	0.02500000000009095	epochs	-1.0
2323.2770000457763	0.02500000000009095	epochs	1.0
2323.3020000457764	0.010000000000218279	epochs	-1.0
2323.3020000457764	0.010000000000218279	epochs	1.0
2323.3120000457766	0.004944999999679567	epochs	-1.0
2323.3120000457766	0.004944999999679567	epochs	1.0
2323.3169450457763	0.16505000000006476	epochs	0.0
2336.3990001678467	0.09999999999990905	epochs	0.0
2336.3990001678467	0.04500000000007276	epochs	1.0
2336.4440001678468	0.009999999999763531	epochs	1.0
2336.4540001678465	0.04500000000007276	epochs	1.0
2336.4990001678466	0.7049950000000536	epochs	0.0
2336.4990001678466	0.5	epochs	-1.0
2336.4990001678466	0.5	epochs	1.0
2336.9990001678466	0.05999999999994543	epochs	-1.0
2336.9990001678466	0.02500000000009095	epochs	-1.0
2336.9990001678466	0.02500000000009095	epochs	1.0
2337.0240001678467	0.010000000000218279	epochs	-1.0
2337.0240001678467	0.010000000000218279	epochs	1.0
2337.034000167847	0.024999999999636202	epochs	-1.0
2337.034000167847	0.024999999999636202	epochs	1.0
2337.0590001678465	0.05999999999994543	epochs	-1.0
2337.0590001678465	0.02500000000009095	epochs	-1.0
2337.0590001678465	0.02500000000009095	epochs	1.0
2337.0840001678466	0.010000000000218279	epochs	-1.0
2337.0840001678466	0.010000000000218279	epochs	1.0
2337.094000167847	0.024999999999636202	epochs	-1.0
2337.094000167847	0.024999999999636202	epochs	1.0
2337.1190001678465	0.06000000000040018	epochs	-1.0
2337.1190001678465	0.02500000000009095	epochs	-1.0
2337.1190001678465	0.02500000000009095	epochs	1.0
2337.1440001678466	0.010000000000218279	epochs	-1.0
2337.1440001678466	0.010000000000218279	epochs	1.0
2337.154000167847	0.02500000000009095	epochs	-1.0
2337.154000167847	0.02500000000009095	epochs	1.0
2337.179000167847	0.024994999999762513	epochs	1.0
2400.6400003433228	0.09999999999990905	epochs	0.0
2400.6400003433228	0.04500000000007276	epochs	1.0
2400.685000343323	0.009999999999763531	epochs	1.0
2400.6950003433226	0.04500000000007276	epochs	1.0
2400.7400003433227	61.38499499999989	epochs	0.0
2400.7400003433227	0.5	epochs	-1.0
2400.7400003433227	0.5	epochs	-1.0
2400.7400003433227	0.5	epochs	1.0
2401.2400003433227	0.05999999999994543	epochs	-1.0
2401.2400003433227	0.02500000000009095	epochs	-1.0
2401.2400003433227	0.02500000000009095	epochs	1.0
2401.2650003433228	0.010000000000218279	epochs	-1.0
2401.2650003433228	0.010000000000218279	epochs	1.0
2401.275000343323	0.024999999999636202	epochs	-1.0
2401.275000343323	0.024999999999636202	epochs	1.0
2401.3000003433226	0.05999999999994543	epochs	-1.0
2401.3000003433226	0.02500000000009095	epochs	-1.0
2401.3000003433226	0.02500000000009095	epochs	1.0
2401.3250003433227	0.010000000000218279	epochs	-1.0
2401.3250003433227	0.010000000000218279	epochs	1.0
2401.335000343323	0.024999999999636202	epochs	-1.0
2401.335000343323	0.024999999999636202	epochs	1.0
2401.3600003433226	0.06000000000040018	epochs	-1.0
2401.3600003433226	0.02500000000009095	epochs	-1.0
2401.3600003433226	0.02500000000009095	epochs	1.0
2401.3850003433226	0.010000000000218279	epochs	-1.0
2401.3850003433226	0.010000000000218279	epochs	1.0
2401.395000343323	0.02500000000009095	epochs	-1.0
2401.395000343323	0.02500000000009095	epochs	1.0
2401.420000343323	60.0	epochs	1.0
2461.420000343323	0.5	epochs	-1.0
2461.420000343323	0.5	epochs	-1.0
2461.420000343323	0.5	epochs	1.0
2461.920000343323	0.05999999999994543	epochs	-1.0
2461.920000343323	0.024999999999636202	epochs	-1.0
2461.920000343323	0.024999999999636202	epochs	1.0
2461.9450003433226	0.010000000000218279	epochs	-1.0
2461.9450003433226	0.010000000000218279	epochs	1.0
2461.955000343323	0.02500000000009095	epochs	-1.0
2461.955000343323	0.02500000000009095	epochs	1.0
2461.980000343323	0.05999999999994543	epochs	-1.0
2461.980000343323	0.024999999999636202	epochs	-1.0
2461.980000343323	0.024999999999636202	epochs	1.0
2462.0050003433225	0.010000000000218279	epochs	-1.0
2462.0050003433225	0.010000000000218279	epochs	1.0
2462.0150003433228	0.02500000000009095	epochs	-1.0
2462.0150003433228	0.02500000000009095	epochs	1.0
2462.040000343323	0.05999999999994543	epochs	-1.0
2462.040000343323	0.02500000000009095	epochs	-1.0
2462.040000343323	0.02500000000009095	epochs	1.0
2462.065000343323	0.009999999999763531	epochs	-1.0
2462.065000343323	0.009999999999763531	epochs	1.0
2462.0750003433227	0.02500000000009095	epochs	-1.0
2462.0750003433227	0.02500000000009095	epochs	1.0
2462.100000343323	0.024994999999762513	epochs	1.0
2507.3229999542236	0.09999999999990905	epochs	0.0
2507.3229999542236	0.04500000000007276	epochs	1.0
2507.3679999542237	0.009999999999763531	epochs	1.0
2507.3779999542235	0.04500000000007276	epochs	1.0
2507.4229999542235	0.7049950000000536	epochs	0.0
2507.4229999542235	0.5	epochs	-1.0
2507.4229999542235	0.5	epochs	-1.0
2507.4229999542235	0.5	epochs	1.0
2507.9229999542235	0.05999999999994543	epochs	-1.0
2507.9229999542235	0.02500000000009095	epochs	-1.0
2507.9229999542235	0.02500000000009095	epochs	1.0
